spawn,creature,avg_kills_h,n_sessions,value_per_kill,contrib_h,top_loot
West Roshamuul (SOLO RP),Sight of Surrender,1.3,1,248,316,stone skin amulets|8895||blue crystal shards|1347||broken visors|578||green crystal splinters|353|
Yalahar Bog Raiders Central,Bog Raider,296.0,1,22,6512,boggy dreads|1494|📦|gold coins|—|
Yalahar Bog Raiders Central,Death Blob,66.0,1,22,1452,globs of tar |—|
Yalahar Bog Raiders Central,Nightmare Scion,64.0,1,22,1408,meat|—||gold coins|—|
Yalahar Bog Raiders Central,Nightmare,34.0,1,22,748,demonic essence|898||scythe legs|455||soul orbs|20||ham|—|
Yalahar Bog Raiders Central,Mutated Tiger,20.0,1,22,440,striped fur|503|📦|sabreteeth|—||meat|—||gold coins|—|
Yalahar Bog Raiders Central,Acid Blob,2.0,1,22,44,globs of acid slime |—|
buster spectre,Burster Spectre,247.5,1,132,32670,great spirit potions|113||platinum coins|—|
cobra bastion,Cobra Assassin,516.2,1,263,135754,small emeralds|161||scimitars|—||protection amulets|—||platinum coins|—|
cobra bastion,Cobra Scout,317.6,1,263,83541,platinum coins|—||opals|—||earth arrows|—||cobra crests|—|
cobra bastion,Cobra Vizier,172.9,1,263,45483,terra boots|2203|📦|terra rods|1560||cyan crystal fragments|731||snakebite rods|34|
demons Oramond 30 minutes,Demon,71.0,1,300,21300,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
demons Oramond 30 minutes,Metal Gargoyle,60.0,1,268,16080,metal jaws|2815||platinum coins|—||gold coins|—|
demons Oramond 30 minutes,Grim Reaper,55.0,1,86,4730,demonic essence|898||gold coins|—||flasks of demonic blood|—|
demons Oramond 30 minutes,Walker,2.0,1,268,536,platinum coins|—||metal toes|—||gold coins|—|
demons Oramond 30 minutes,Glooth Blob,8.0,1,10,80,gold coins|—||globs of glooth|—|
demons Oramond 30 minutes,Rot Elemental,4.0,1,11,44,strong mana potions|100||strong health potions|4||platinum coins|—||gold coins|—|
demons Oramond 30 minutes,Death Blob,2.0,1,22,44,globs of tar |—|
demons Oramond 30 minutes,Devourer,1.0,1,11,11,platinum coins|—||gold coins|—||globs of glooth|—|
demons goroma 30m,Fire Elemental,334.3,1,206,68862,nothing |—|
demons goroma 30m,Demon,143.6,1,300,43071,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
demons goroma 30m,Demon Skeleton,126.4,1,175,22125,demonic skeletal hands|51||throwing stars|—||gold coins|—|
demons goroma 30m,Hellhound,21.4,1,460,9857,demonic essence|898||blazing bones|363||black pearls|231||great spirit potions|113|
demons goroma 30m,Dragon Lord,68.6,1,95,6514,green mushrooms|88||gold coins|—||dragon ham|—|
gazer sceptre,Gazer Spectre,513.0,2,178,91314,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
gazer sceptre,Thanatursus,2.9,2,179,511,halberds|274||platinum coins|—||meat|—||ham|—|
lavas with prey,Ravenous Lava Lurker,451.5,1,,,
werelions,Werelioness,197.5,1,95,18762,soul orbs|20||rapiers|—||platinum coins|—||meat|—|
werelions,Werelion,197.5,1,95,18762,dark armors|121||great spirit potions|113||platinum coins|—||lion&#39;s manes|—|
werelions,White Lion,22.5,1,95,2137,terra boots|2203|📦|twin hooks|152||great spirit potions|113||platinum coins|—|
❄️ Iceplume Strider – Bounty Hunt,True Frost Flower Asura,317.7,1,456,144873,
❄️ Iceplume Strider – Bounty Hunt,Silverfrost Sentinel,375.7,1,375,140901,small sapphires|214||platinum coins|—|
❄️ Iceplume Strider – Bounty Hunt,Iceplume Strider,352.1,1,375,132049,small sapphires|214||platinum coins|—|
❄️ Iceplume Strider – Bounty Hunt,True Midnight Asura,78.7,1,460,36196,
❄️ Iceplume Strider – Test Hunt,Silverfrost Sentinel,375.0,1,375,140625,small sapphires|214||platinum coins|—|
❄️ Iceplume Strider – Test Hunt,Iceplume Strider,369.0,1,375,138375,small sapphires|214||platinum coins|—|
❄️ Iceplume Strider – Test Hunt,True Frost Flower Asura,276.0,1,456,125856,
❄️ Iceplume Strider – Test Hunt,True Midnight Asura,51.0,1,460,23460,
💀 Choking Fear – Bounty Hunt (Upper Roshamuul North),Choking Fear,694.0,1,256,177664,brown crystal splinters|263||great spirit potions|113||ultimate health potions|91||great mana potions|32|
💀 Choking Fear – Bounty Hunt (Upper Roshamuul North),Retching Horror,550.0,1,256,140800,great mana potions|32||pools of chitinous glue|—||platinum coins|—||great health potions|—|
💀 Choking Fear – Bounty Hunt (Upper Roshamuul North),Silencer,304.0,1,248,75392,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
🔥 Asura Citadel Hunt,Silverfrost Sentinel,402.3,1,375,150860,small sapphires|214||platinum coins|—|
🔥 Asura Citadel Hunt,True Frost Flower Asura,323.6,1,456,147564,
🔥 Asura Citadel Hunt,Iceplume Strider,363.0,1,375,136106,small sapphires|214||platinum coins|—|
🔥 Asura Citadel Hunt,True Midnight Asura,71.8,1,460,33029,
