spawn,creature,avg_kills_h,n_sessions,value_per_kill,contrib_h,top_loot
Weretigers -2,Weretiger,251.0,1,447,112197,weretiger teeth|—||platinum coins|—||gold coins|—|
Weretigers -2,White Weretiger,140.0,1,447,62580,weretiger teeth|—||platinum coins|—||gold coins|—|
West Roshamuul (SOLO RP),Frazzlemaw,748.1,1,745,557323,frazzle tongues|505||frazzle skins|336||brown crystal splinters|263||great mana potions|32|
West Roshamuul (SOLO RP),Silencer,583.4,1,745,434636,silencer claws|3804|🧪|platinum coins|—||gold coins|—|
West Roshamuul (SOLO RP),Guzzlemaw,342.1,1,729,249411,frazzle tongues|505||great mana potions|32||platinum coins|—||great health potions|—|
West Roshamuul (SOLO RP),Retching Horror,1.3,1,766,977,great mana potions|32||pools of chitinous glue|—||platinum coins|—||great health potions|—|
West Roshamuul (SOLO RP),Sight of Surrender,1.3,1,745,951,stone skin amulets|8895||blue crystal shards|1347||broken visors|578||green crystal splinters|353|
Yalahar Bog Raiders Central,Bog Raider,296.0,1,52,15392,boggy dreads|1494|📦|gold coins|—|
Yalahar Bog Raiders Central,Death Blob,66.0,1,52,3432,globs of tar |—|
Yalahar Bog Raiders Central,Nightmare Scion,64.0,1,52,3328,meat|—||gold coins|—|
Yalahar Bog Raiders Central,Nightmare,34.0,1,52,1768,demonic essence|898||scythe legs|455||soul orbs|20||ham|—|
Yalahar Bog Raiders Central,Mutated Tiger,20.0,1,52,1040,striped fur|503|📦|sabreteeth|—||meat|—||gold coins|—|
Yalahar Bog Raiders Central,Acid Blob,2.0,1,52,104,globs of acid slime |—|
buster spectre,Burster Spectre,247.5,1,308,76230,great spirit potions|113||platinum coins|—|
cobra bastion,Cobra Assassin,516.2,1,791,408295,small emeralds|161||scimitars|—||protection amulets|—||platinum coins|—|
cobra bastion,Cobra Scout,317.6,1,791,251258,platinum coins|—||opals|—||earth arrows|—||cobra crests|—|
cobra bastion,Cobra Vizier,172.9,1,791,136796,terra boots|2203|📦|terra rods|1560||cyan crystal fragments|731||snakebite rods|34|
demons Oramond 30 minutes,Demon,71.0,1,902,64042,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
demons Oramond 30 minutes,Metal Gargoyle,60.0,1,805,48300,metal jaws|2815||platinum coins|—||gold coins|—|
demons Oramond 30 minutes,Grim Reaper,55.0,1,201,11055,demonic essence|898||gold coins|—||flasks of demonic blood|—|
demons Oramond 30 minutes,Walker,2.0,1,805,1610,platinum coins|—||metal toes|—||gold coins|—|
demons Oramond 30 minutes,Glooth Blob,8.0,1,26,208,gold coins|—||globs of glooth|—|
demons Oramond 30 minutes,Rot Elemental,4.0,1,29,116,strong mana potions|100||strong health potions|4||platinum coins|—||gold coins|—|
demons Oramond 30 minutes,Death Blob,2.0,1,52,104,globs of tar |—|
demons Oramond 30 minutes,Devourer,1.0,1,29,29,platinum coins|—||gold coins|—||globs of glooth|—|
demons goroma 30m,Fire Elemental,334.3,1,620,207257,nothing |—|
demons goroma 30m,Demon,143.6,1,902,129501,demonic essence|898||demon horns|601||fire mushrooms|176||small amethysts|172|
demons goroma 30m,Demon Skeleton,126.4,1,527,66627,demonic skeletal hands|51||throwing stars|—||gold coins|—|
demons goroma 30m,Hellhound,21.4,1,1382,29614,demonic essence|898||blazing bones|363||black pearls|231||great spirit potions|113|
demons goroma 30m,Dragon Lord,68.6,1,222,15222,green mushrooms|88||gold coins|—||dragon ham|—|
gazer sceptre,Gazer Spectre,513.0,2,416,213408,brown crystal splinters|263||small diamonds|241||small sapphires|214||platinum coins|—|
gazer sceptre,Thanatursus,2.9,2,419,1197,halberds|274||platinum coins|—||meat|—||ham|—|
lavas with prey,Ravenous Lava Lurker,451.5,1,,,
werelions,Werelioness,197.5,1,222,43845,soul orbs|20||rapiers|—||platinum coins|—||meat|—|
werelions,Werelion,197.5,1,222,43845,dark armors|121||great spirit potions|113||platinum coins|—||lion&#39;s manes|—|
werelions,White Lion,22.5,1,222,4995,terra boots|2203|📦|twin hooks|152||great spirit potions|113||platinum coins|—|
❄️ Iceplume Strider – Bounty Hunt,True Frost Flower Asura,317.7,1,1297,412063,
❄️ Iceplume Strider – Bounty Hunt,Silverfrost Sentinel,375.7,1,793,297960,small sapphires|214||platinum coins|—|
❄️ Iceplume Strider – Bounty Hunt,Iceplume Strider,352.1,1,793,279240,small sapphires|214||platinum coins|—|
❄️ Iceplume Strider – Bounty Hunt,True Midnight Asura,78.7,1,1382,108747,
❄️ Iceplume Strider – Test Hunt,True Frost Flower Asura,276.0,1,1297,357972,
❄️ Iceplume Strider – Test Hunt,Silverfrost Sentinel,375.0,1,793,297375,small sapphires|214||platinum coins|—|
❄️ Iceplume Strider – Test Hunt,Iceplume Strider,369.0,1,793,292617,small sapphires|214||platinum coins|—|
❄️ Iceplume Strider – Test Hunt,True Midnight Asura,51.0,1,1382,70482,
