item,npc,npc_price,market_band
Mutated Bat Ear,Yasir,420,High
Mutated Flesh,Yasir,50,Low
Mutated Rat Tail,Yasir,150,High
Naga Archer Scales,Yasir,340,High
Naga Armring,Yasir,390,Medium
Naga Earring,Yasir,380,Low
Naga Warrior Scales,Yasir,340,Medium
Necromantic Core,Yasir,10000,Very High
Necromantic Rust,Yasir,390,High
Night Harpy Feathers,Yasir,5000,Very High
Nighthunter Wing,Yasir,2000,High
Nimmersatt's Seal,Yasir,520,Low
Odd Organ,Yasir,410,Medium
Ogre Ear Stud,Yasir,180,Medium
Old Girtablilu Carapace,Yasir,570,Very High
Orcish Gear,Yasir,85,Low
Orcish Toothbrush,Yasir,750,Low
Pair of Hellflayer Horns,Yasir,1300,Medium
Paper Boat,Yasir,800,High
Paper Plane,Yasir,480,Very High
Piece of Frozen Night,Yasir,680,Low
Piece of Warrior Armor,Yasir,50,Medium
Pirat's Tail,Yasir,180,Low
Pirate Coin,Yasir,110,Low
Plasma Pearls,Yasir,250,Low
Plasmatic Lightning,Yasir,270,Low
Poisoned Fang,Yasir,130,Medium
Pool of Chitinous Glue,Yasir,480,Medium
Pot of Orcish Warpaint,Yasir,1150,Low
Prehemoth Claw,Yasir,2300,Very High
Prehemoth Horns,Yasir,3000,Very High
Pressed Flower,Yasir,570,High
Quara Bone,Yasir,500,Low
Quara Eye,Yasir,350,Low
Quara Pincers,Yasir,410,Low
Quara Tentacle,Yasir,140,Medium
Red Goanna Scale,Yasir,270,High
Red Hair Dye,Yasir,40,Medium
Resin Parasite,Yasir,1450,Low
Resinous Fish Fin,Yasir,1250,Very High
Rhindeer Antlers,Yasir,680,High
Ripptor Claw,Yasir,2600,Very High
Ripptor Scales,Yasir,1200,Very High
Ritual Bone Knife,Yasir,820,Low
Ritual Tooth,Yasir,135,Medium
Roots,Yasir,1200,Very High
Rotten Feather,Yasir,120,Medium
Rotten Piece of Cloth,Yasir,30,Medium
Rotten Roots,Yasir,3800,Very High
Sabretooth Fur,Yasir,2500,Very High
Sandcrawler Shell,Yasir,20,Very High
Scale of Corruption,Yasir,680,Medium
Scarab Pincers,Yasir,280,Medium
Scorpion Charm,Yasir,620,High
Scroll of Heroic Deeds,Yasir,230,Low
Scythe Leg,Yasir,450,Low
Sealing Wax,Yasir,620,Medium
Shaggy Tail,Yasir,25,High
Shamanic Talisman,Yasir,200,High
Shark Fins,Yasir,250,Medium
Shimmering Beetles,Yasir,150,Medium
Silencer Resonating Chamber,Yasir,600,Low
Silken Bookmark,Yasir,1300,Medium
Silver Moon Coin,Yasir,11000,High
Silver Poniard,Yasir,2000,Very High
Sineater Wing,Yasir,2100,High
Single Human Eye,Yasir,1000,Medium
Skull Fetish,Yasir,250,Medium
Slimy Leaf Tentacle,Yasir,320,High
Small Flask of Eyedrops,Yasir,95,Medium
Small Notebook,Yasir,480,Low
Small Treasure Chest,Yasir,500,High
Small Tropical Fish,Yasir,380,Medium
Spark Sphere,Yasir,350,Medium
Sparkion Claw,Yasir,290,Low
Sparkion Legs,Yasir,310,Low
Sparkion Stings,Yasir,280,Low
Sparkion Tail,Yasir,300,Medium
Spellsinger's Seal,Yasir,280,High
Sphinx Tiara,Yasir,360,Medium
Spiked Bracers,Yasir,1360,Medium
Spiked Gorget,Yasir,850,High
Spitter Nose,Yasir,340,High
Staff Piece,Yasir,560,High
Stag Parchment,Yasir,3000,Very High
Stalking Seeds,Yasir,1800,Very High
Stampor Talons,Yasir,150,High
Star Ink,Yasir,1250,Low
Stone Wing,Yasir,120,Medium
Stonerefiner's Skull,Yasir,100,Low
Strange Substance,Yasir,810,Very High
Streaked Devourer Eyes,Yasir,500,Very High
Streaked Devourer Legs,Yasir,600,Very High
Streaked Devourer Maw,Yasir,400,Very High
Striped Fur,Yasir,50,Low
Sulphider Shell,Yasir,2200,Very High
Sulphur Powder,Yasir,1900,High
Swarmer Antenna,Yasir,130,High
Tail of Corruption,Yasir,240,Very High
Telescope Eye,Yasir,1600,Very High
Terramite Legs,Yasir,60,Medium
Thorn,Yasir,100,Medium
Toe Nails,Yasir,4500,Very High
Tooth File,Yasir,60,High
Torn Page,Yasir,340,Low
Trapped Bad Dream Monster,Yasir,900,Medium
Tunnel Tyrant Head,Yasir,500,High
Tunnel Tyrant Shell,Yasir,700,Medium
Two-Headed Turtle Heads,Yasir,460,Medium
Undertaker Fangs,Yasir,2700,High
Unholy Bone,Yasir,480,Medium
Vampire's Cape Chain,Yasir,150,High
Venison,Yasir,55,High
Volatile Proto Matter,Yasir,300,Low
Wardragon Claw,Yasir,550,Medium
Wardragon Tooth,Yasir,730,High
Waspoid Claw,Yasir,320,Medium
Weaver's Wandtip,Yasir,250,Low
Werecrocodile Tongue,Yasir,570,Medium
Werehyaena Nose,Yasir,220,Low
Werehyaena Talisman,Yasir,350,Medium
Werepanther Claw,Yasir,280,Low
Weretiger Tooth,Yasir,490,High
Widow's Mandibles,Yasir,110,Medium
Wild Flowers,Yasir,120,Medium
Wimp Tooth Chain,Yasir,120,Medium
Winged Tail,Yasir,800,High
Witch Broom,Yasir,60,Medium
Worm Sponge,Yasir,4200,Very High
Yapunac Dagger,Yasir,240,Medium
Fox Paw,Yasir,100,Medium
Werebadger Claws,Yasir,160,Medium
Werebadger Skull,Yasir,185,Medium
Werebear Fur,Yasir,185,High
Werebear Skull,Yasir,195,High
Wereboar Tusks,Yasir,165,Medium
Werefox Tail,Yasir,200,Medium
Werewolf Fur,Yasir,380,Medium
Tremendous Tyrant Head,Yasir,930,Very High
Tremendous Tyrant Shell,Yasir,740,Very High
Cave Chimera Leg,Yasir,650,Very High
Cave Chimera Head,Yasir,1200,Very High
Varnished Diremaw Legs,Yasir,670,Very High
Varnished Diremaw Brainpan,Yasir,750,Very High
Lizard Tail,Yasir,95,Medium
Infernoid Ember,Yasir,160,Medium
Gold Tooth,Yasir,120,Medium
Rotten Vermin Ichor,Yasir,4500,Very High
Blooded Worm,Yasir,4700,Very High
Basalt Core,Yasir,5800,Very High
Rod,Yasir,2200,Very High
Head (Many Faces),Yasir,3200,Very High
Apron,Yasir,1300,Very High
Crown,Yasir,2700,Very High
Head (Brachiodemon),Yasir,3500,Very High
Hand,Yasir,1450,Very High
Jaws,Yasir,3900,Very High
Capricious Heart,Yasir,2100,Very High
Capricious Robe,Yasir,1200,Very High
Infernal Heart,Yasir,2100,Very High
Infernal Robe,Yasir,1200,Very High
Distorted Heart,Yasir,2100,Very High
Distorted Robe,Yasir,1200,Very High
Vibrant Heart,Yasir,2100,Very High
Vibrant Robe,Yasir,1200,Very High
Mould Robe,Yasir,1200,Very High
Ancient Stone,Telas,200,Medium
Broken Gladiator Shield,Telas,190,Medium
Crystalline Spikes,Telas,440,High
Magma Clump,Telas,570,Medium
Piece of Draconian Steel,Telas,3000,High
Piece of Hell Steel,Telas,500,Low
Pulverized Ore,Telas,400,Medium
Shiny Stone,Telas,500,Medium
Sulphurous Stone,Telas,100,Low
Vein of Ore,Telas,330,High
Badger Boots,Gladys,7500,Low
Fox Paw,Gladys,100,Medium
Fur Armor,Gladys,5000,Low
Werebadger Claws,Gladys,160,Medium
Werebadger Skull,Gladys,185,Medium
Werebear Fur,Gladys,185,High
Werebear Skull,Gladys,195,High
Wereboar Loincloth,Gladys,1500,High
Wereboar Tusks,Gladys,165,Medium
Werefox Tail,Gladys,200,Medium
Werewolf Fur,Gladys,380,Medium
Spellbook of Mind Control,Others,13000,Low
Spellweaver's Robe,Others,12000,Low
Focus Cape,Others,6000,Low
Zaoan Robe,Others,12000,Very High
Ornate Crossbow,Others,12000,Medium
Wooden Spellbook,Others,12000,Medium
Wood Cape,Others,5000,Low
Golden Sickle,Others,1000,Low
Ratana,Others,500,Low
Ripper Lance,Others,500,High
Halberd,Others,400,Low
Orcish Axe,Others,350,Low
Spiky Club,Others,300,Very High
Double Axe,Others,260,Medium
Plate Legs,Others,115,Medium
Battle Shield,Others,95,Medium
Swampling Club,Others,40,Medium
Bone Club,Others,5,High
Combat Knife,Others,1,Medium
Knife,Others,1,Medium
Crystalline Sword,Others,0,Very High
Demonic Matter,Others,0,High
Exalted Core,Others,0,Very High
Flask of Demonic Blood,Others,0,Medium
Raw Meat,Others,0,Medium
Sliver,Others,0,Very High
Bone Shoulderplate,Esrik,150,Medium
Broken Draken Mail,Esrik,340,High
Broken Halberd,Esrik,100,High
Broken Slicer,Esrik,120,High
Cursed Shoulder Spikes,Esrik,320,High
High Guard Shoulderplates,Esrik,130,Medium
Spiked Iron Ball,Esrik,100,Low
Zaoan Armor,Esrik,14000,Low
Zaoan Shoes,Esrik,5000,Low
Zaogun Shoulderplates,Esrik,150,High
High Guard Flag,Esrik,550,High
Zaogun Flag,Esrik,600,Very High
Alloy Legs,Flint,11000,Very High
Glooth Axe,Flint,1500,Low
Glooth Blade,Flint,1500,Low
Glooth Cape,Flint,7000,Very High
Glooth Club,Flint,1500,Low
Metal Bat,Flint,9000,Very High
Metal Spats,Flint,2000,Very High
Mino Lance,Flint,7000,High
Mino Shield,Flint,3000,Low
Rubber Cap,Flint,11000,Medium
